#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
46239 2012 02 24 15 21  MM   MM   MM   3.5    15   9.2 297     MM    MM  10.7    MM   MM   MM    MM
46240 2012 02 24 15 42  MM   MM   MM   1.6    11   9.1 344     MM    MM  12.2    MM   MM   MM    MM
46240 2012 02 24 15 12  MM   MM   MM   1.6    10   9.4 342     MM    MM  12.2    MM   MM   MM    MM
46241 2012 02 24 15 11  MM   MM   MM   1.1    14   8.4 262     MM    MM  14.7    MM   MM   MM    MM
46242 2012 02 24 15 28  MM   MM   MM   0.7    18   8.1 226     MM    MM  14.6    MM   MM   MM    MM
46243 2012 02 24 15 29  MM   MM   MM   2.1    12   6.1 254     MM    MM   8.0    MM   MM   MM    MM
46247 2012 02 24 15 21  MM   MM   MM   2.6    15   9.0 291     MM    MM  10.2    MM   MM   MM    MM
46248 2012 02 24 15 34  MM   MM   MM   2.4    11   6.5 269     MM    MM   8.9    MM   MM   MM    MM
46248 2012 02 24 15 04  MM   MM   MM   2.7    13   6.5 283     MM    MM   8.9    MM   MM   MM    MM
46249 2012 02 24 15 22  MM   MM   MM   1.3    11   7.5 296     MM    MM  13.8    MM   MM   MM    MM
51201 2012 02 24 15 25  MM   MM   MM   1.6    12   7.0 319     MM    MM  23.7    MM   MM   MM    MM
51202 2012 02 24 15 10  MM   MM   MM   2.1    10   7.0  75     MM    MM  23.6    MM   MM   MM    MM
51203 2012 02 24 15 43  MM   MM   MM   0.9    13   7.8 230     MM    MM  24.4    MM   MM   MM    MM
51203 2012 02 24 15 13  MM   MM   MM   0.9    13   7.9 261     MM    MM  24.4    MM   MM   MM    MM
51205 2012 02 24 15 18  MM   MM   MM   2.0    10   7.4  81     MM    MM  23.3    MM   MM   MM    MM
52200 2012 02 24 15 45  MM   MM   MM   1.9    10   6.4  73     MM    MM  28.2    MM   MM   MM    MM
52200 2012 02 24 15 15  MM   MM   MM   1.7     8   6.4  94     MM    MM  28.2    MM   MM   MM    MM
61001 2012 02 24 15 00 230  3.1   MM   0.7     5    MM  MM 1026.0  13.0  13.3  10.6   MM -1.2    MM
61002 2012 02 24 15 00  MM  5.7   MM   1.1     5    MM  MM 1026.8   9.7  12.8    MM   MM -0.8    MM
62001 2012 02 24 15 00  60  4.6   MM   3.1    13    MM  MM 1029.6  11.1  12.8  10.3   MM -1.8    MM
62027 2012 02 24 15 00 250  3.6   MM   1.4    MM    18  MM 1031.4    MM   8.2    MM   MM -0.6    MM
62029 2012 02 24 15 00 230  3.6   MM   3.7    MM    10  MM 1031.0  12.1  12.1  11.2   MM -0.8    MM
62081 2012 02 24 15 00  MM   MM   MM   3.6    MM     9  MM 1029.6  10.0  11.3   8.8   MM -0.6    MM
62095 2012 02 24 15 00 190  1.5   MM   5.1    MM    10  MM 1030.0   8.6  11.1   1.1   MM -1.0    MM
62103 2012 02 24 15 00 260  8.2   MM   1.7    MM    13  MM 1030.2   9.4   9.7   9.2   27 -0.2    MM
62105 2012 02 24 15 00 280  8.2   MM   5.4    MM    10  MM 1027.6   8.4  10.5   4.2   MM +0.2    MM
62107 2012 02 24 15 00 290  4.1   MM   3.0    MM    10  MM 1030.9  10.2  10.0   9.7   MM -0.7    MM
62114 2012 02 24 15 00 280 17.5   MM    MM    MM    MM  MM 1012.1   6.8    MM   1.4   MM +1.6    MM
62125 2012 02 24 15 00 290  7.2   MM   0.7    MM     4  MM 1028.0   7.9    MM   5.9   11 +1.0    MM
62142 2012 02 24 15 00 270 11.3   MM   0.9    MM     4  MM 1023.1  10.2    MM   7.0   11 +0.3    MM
62144 2012 02 24 15 00 290  9.8   MM   1.0    MM     4  MM 1024.2   8.6    MM   6.5   11 +0.9    MM
62145 2012 02 24 15 00 270 10.3   MM    MM    MM    MM  MM 1023.6   8.5    MM   5.9    5   MM    MM
62163 2012 02 24 15 00  30  4.1   MM   4.1    MM    12  MM 1031.6   8.2  12.2   7.4   MM -1.2    MM
62164 2012 02 24 15 00 280 17.0   MM   3.2    MM     6  MM 1017.1  10.2   7.3   3.1    5 +1.8    MM
62301 2012 02 24 15 00 360  2.6   MM   1.2    MM     6  MM 1028.8   8.2   8.2   7.5   MM +1.2    MM
62303 2012 02 24 15 00 260  4.6   MM   2.1    MM     7  MM 1029.2   9.4   8.7   9.0   MM -0.1    MM
62304 2012 02 24 15 00 190  7.2   MM   0.4    MM     5  MM 1027.5   7.2   6.4   7.0    2 +0.1    MM
63104 2012 02 24 15 00 280 19.6   MM    MM    MM    MM  MM  996.3   7.1    MM   2.5    5 +2.4    MM
63105 2012 02 24 15 00 280 19.0   MM    MM    MM    MM  MM  997.2   7.5    MM   3.0    2 +1.3    MM
63110 2012 02 24 15 00 290 18.0   MM   6.1    MM     8  MM 1005.6   7.1    MM   1.9    5 +1.6    MM
63112 2012 02 24 15 00 290 21.6   MM   8.2    MM    10  MM  997.7   7.3    MM   1.4   MM +1.8    MM
63113 2012 02 24 15 00  MM 16.5   MM   8.9    MM    10  MM 1001.2   7.2    MM   3.0   MM +0.2    MM
63117 2012 02 24 15 00 290 17.5   MM    MM    MM    MM  MM  997.4   7.1    MM   2.4    2 +2.2    MM
64045 2012 02 24 15 00 260 14.9   MM   7.7    MM     9  MM 1017.6   7.7   9.7   2.6   MM +1.4    MM
AAMC1 2012 02 24 15 36 230  2.1  2.6    MM    MM    MM  MM 1017.3  13.1  13.1    MM   MM   MM    MM
